transactionitemid,transactionid,productid,quantity,unitprice
5,1,3,1,5.46
6,1,4,1,5.99
7,1,5,1,5.32
8,1,9,1,5.20
9,2,5,1,5.44
10,2,2,1,5.43
11,2,16,1,0.66
12,3,6,1,4.70
13,3,12,1,5.40
14,3,9,1,5.34
15,4,5,1,5.55
16,4,1,1,5.04
17,5,9,1,5.23
18,5,8,1,4.84
19,6,12,1,5.28
20,7,3,1,5.27
21,7,12,1,5.37
22,8,2,1,5.49
23,8,5,1,5.33
24,10,4,1,5.80
25,11,11,2,5.23
26,12,4,2,5.85
27,12,16,1,0.67
28,13,2,1,5.39
29,13,1,1,5.12
30,13,13,1,5.74
31,13,9,1,5.26
32,13,16,1,0.68
33,14,12,1,5.33
34,14,3,2,5.55
35,15,15,1,5.14
36,16,2,1,5.32
37,16,16,1,0.68
38,17,4,1,5.76
39,18,9,1,5.20
40,19,8,1,4.69
41,20,14,1,5.44
42,22,1,1,5.12
43,22,10,2,5.25
44,23,9,1,5.39
45,23,16,1,0.66
46,24,3,1,5.44
47,25,7,1,4.46
48,25,9,1,5.31
49,25,16,1,0.69
50,26,9,1,5.20
51,26,2,1,5.59
52,27,4,1,6.03
53,28,9,2,5.38
54,28,11,2,5.26
55,28,1,1,5.09
56,29,8,1,4.71
57,30,16,1,0.68
58,31,15,2,5.39
59,31,11,1,5.40
60,32,14,1,5.46
61,33,10,1,5.37
62,33,16,1,0.67
63,34,11,1,5.17
64,35,14,1,5.35
65,36,9,1,5.39
66,36,2,1,5.39
67,36,11,1,5.33
68,37,16,1,0.66
69,37,3,1,5.44
70,38,12,2,5.14
71,39,6,2,4.69
72,40,10,1,5.32
73,41,4,1,5.90
74,41,4,1,5.94
75,41,14,1,5.40
76,42,1,1,5.01
77,42,11,1,5.24
78,42,16,1,0.67
79,43,1,1,5.08
80,43,16,1,0.70
81,44,1,1,4.95
82,46,11,2,5.37
83,47,7,1,4.54
84,48,5,1,5.48
85,48,2,1,5.46
86,49,4,1,5.70
87,49,1,1,5.03
88,50,5,2,5.51
89,51,8,1,4.89
90,51,15,2,5.31
91,52,10,1,5.13
92,53,14,2,5.52
93,53,16,1,0.68
94,54,2,1,5.59
95,54,10,2,5.22
96,54,7,1,4.38
97,54,16,1,0.68
98,55,13,1,5.80
99,55,15,1,5.21
100,55,9,1,5.19
101,56,11,2,5.34
102,57,4,1,5.81
103,57,3,1,5.32
104,57,3,1,5.58
105,58,3,2,5.31
106,59,2,1,5.37
107,59,4,1,5.93
108,59,4,1,5.87
109,60,10,1,5.38
110,60,1,1,4.86
111,61,1,1,4.86
112,61,15,1,5.39
113,61,5,1,5.53
114,62,9,1,5.29
115,63,8,1,4.86
116,64,9,1,5.25
117,64,4,1,5.80
118,64,4,1,5.91
119,64,16,1,0.68
120,65,2,1,5.30
121,66,1,1,4.86
122,66,5,1,5.55
123,66,14,2,5.34
124,67,12,2,5.33
125,68,11,1,5.23
126,68,2,1,5.42
127,68,12,1,5.22
128,69,10,1,5.32
129,69,5,1,5.33
130,70,3,1,5.51
131,70,6,1,4.79
132,70,16,1,0.67
133,71,5,2,5.49
134,71,2,1,5.27
135,71,3,1,5.51
136,71,4,1,5.80
137,72,4,1,5.84
138,72,16,2,0.69
139,72,16,1,0.69
140,73,13,1,5.97
141,73,16,1,0.67
142,74,4,1,5.91
143,74,2,1,5.57
144,74,6,1,4.85
145,75,1,1,4.87
146,76,5,2,5.41
147,76,6,2,4.84
148,77,9,1,5.14
149,78,16,1,0.68
150,78,12,1,5.27
151,78,11,1,5.09
152,79,2,1,5.50
153,79,16,1,0.69
154,80,10,1,5.31
155,80,8,1,4.66
156,81,16,2,0.70
157,81,10,1,5.20
158,82,8,1,4.74
159,82,4,1,6.03
160,82,1,1,4.96
161,83,6,1,4.66
162,84,1,1,4.84
163,85,8,1,4.85
164,85,16,1,0.69
165,86,3,1,5.41
166,86,8,1,4.80
167,87,8,1,4.72
168,87,16,1,0.70
169,89,1,1,5.00
170,89,7,1,4.63
171,90,3,1,5.50
172,90,7,1,4.45
173,90,14,2,5.51
174,91,15,1,5.31
175,92,3,2,5.41
176,93,2,1,5.58
177,93,13,1,5.80
178,93,16,1,0.68
179,93,4,1,5.89
180,94,7,1,4.47
181,95,9,1,5.32
182,95,12,1,5.19
183,95,7,1,4.48
184,95,1,1,4.91
185,96,10,2,5.37
186,96,14,1,5.42
187,97,5,1,5.28
188,98,11,1,5.35
189,99,11,1,5.16
190,100,1,2,4.99
191,101,10,1,5.28
192,101,12,1,5.19
193,101,16,1,0.66
194,102,13,2,5.78
195,102,13,1,5.93
196,102,8,1,4.73
197,102,14,1,5.36
198,103,12,2,5.15
199,104,1,1,5.04
200,105,10,1,5.37
201,106,5,2,5.36
202,107,3,2,5.44
203,108,6,1,4.72
204,109,13,1,5.82
205,109,16,1,0.68
206,110,5,1,5.35
207,110,5,1,5.44
208,110,9,1,5.28
209,110,4,1,5.86
210,111,3,1,5.51
211,111,11,1,5.32
212,112,4,1,5.92
213,112,16,1,0.68
214,113,14,1,5.26
215,113,9,1,5.19
216,113,16,1,0.66
217,114,10,1,5.19
218,114,15,1,5.16
219,115,10,2,5.31
220,116,2,1,5.43
221,117,2,1,5.38
222,117,3,1,5.46
223,117,1,1,4.83
224,117,1,1,5.00
225,117,16,1,0.68
226,118,12,2,5.12
227,119,10,1,5.13
228,120,1,1,5.08
229,120,16,1,0.70
230,121,5,1,5.48
231,122,13,1,5.84
232,122,15,1,5.35
233,122,16,1,0.68
234,123,8,2,4.75
235,124,2,2,5.58
236,124,11,2,5.36
237,124,16,1,0.69
238,125,9,2,5.29
239,126,5,1,5.41
240,127,12,1,5.25
241,127,2,1,5.41
242,127,3,1,5.33
243,128,13,2,5.78
244,130,9,1,5.26
245,130,15,1,5.40
246,131,5,1,5.52
247,131,7,1,4.64
248,132,9,1,5.27
249,132,14,2,5.37
250,132,3,1,5.57
251,132,15,1,5.23
252,133,1,2,4.87
253,133,16,1,0.68
254,134,13,1,6.02
255,134,16,1,0.68
256,134,16,1,0.66
257,135,11,1,5.23
258,136,2,1,5.48
259,137,13,1,5.80
260,137,2,2,5.37
261,138,13,1,6.01
262,139,10,2,5.35
263,139,10,1,5.23
264,139,15,2,5.14
265,140,3,1,5.32
266,140,16,1,0.68
267,141,3,1,5.29
268,141,9,1,5.32
269,141,1,2,5.10
270,142,9,1,5.28
271,142,6,1,4.65
272,142,11,1,5.31
273,142,10,2,5.33
274,143,12,1,5.28
275,143,12,1,5.34
276,143,2,1,5.27
277,144,11,1,5.22
278,144,16,1,0.69
279,145,2,1,5.29
280,145,10,1,5.28
281,145,16,1,0.68
282,146,5,1,5.38
283,146,9,1,5.10
284,147,12,1,5.29
285,147,13,1,5.87
286,148,12,1,5.24
287,149,11,1,5.10
288,150,10,1,5.24
289,151,13,1,5.92
290,152,13,1,6.02
291,153,6,1,4.84
292,154,1,2,4.84
293,155,4,1,6.04
294,156,12,2,5.36
295,157,9,1,5.32
296,157,16,1,0.67
297,158,2,1,5.56
298,159,10,1,5.15
299,159,9,2,5.26
300,160,3,1,5.38
301,160,4,1,5.73
302,160,16,1,0.68
303,161,2,1,5.37
304,162,2,1,5.33
305,162,10,1,5.32
306,163,4,1,5.95
307,163,13,1,5.70
308,163,15,1,5.38
309,164,5,1,5.28
310,164,16,1,0.68
311,165,10,1,5.37
312,165,14,2,5.36
313,165,16,1,0.69
314,166,6,1,4.93
315,166,15,1,5.13
316,166,2,2,5.58
317,167,12,1,5.32
318,167,5,1,5.29
319,169,5,1,5.51
320,169,12,1,5.09
321,170,4,1,5.73
322,171,6,1,4.87
323,172,3,1,5.42
324,172,10,1,5.40
325,172,1,1,5.03
326,173,12,2,5.15
327,174,7,1,4.58
328,175,14,1,5.32
329,175,16,1,0.66
330,176,13,1,5.74
331,177,5,1,5.26
332,177,16,1,0.67
333,178,8,1,4.84
334,179,11,1,5.23
335,180,3,1,5.54
336,181,15,1,5.22
337,182,1,1,4.91
338,182,3,1,5.40
339,183,4,1,5.80
340,184,10,1,5.35
341,185,3,1,5.51
342,185,6,1,4.74
343,185,16,1,0.67
344,186,3,1,5.41
345,186,16,1,0.70
346,187,2,2,5.58
347,188,6,1,4.82
348,188,12,1,5.23
349,188,2,1,5.52
350,188,16,1,0.68
351,189,9,2,5.33
352,189,9,1,5.40
353,189,4,1,5.79
354,190,2,1,5.35
355,191,14,2,5.56
356,191,6,1,4.71
357,191,3,1,5.30
358,191,13,1,5.83
359,192,2,1,5.35
360,193,9,1,5.22
361,194,12,1,5.21
362,194,8,1,4.80
363,194,11,1,5.30
364,195,2,1,5.34
365,195,1,1,5.07
366,196,14,1,5.33
367,196,16,1,0.69
368,197,2,1,5.46
369,198,10,1,5.32
370,199,6,1,4.78
371,199,3,2,5.32
372,199,2,1,5.45
373,199,12,1,5.32
374,200,2,1,5.44
375,201,1,1,4.92
376,201,16,1,0.68
377,202,13,1,5.82
378,203,16,1,0.68
379,204,12,1,5.36
380,205,12,1,5.32
381,205,16,1,0.66
382,206,7,1,4.49
383,207,14,1,5.26
384,207,2,1,5.32
385,208,6,1,4.80
386,209,13,1,5.84
387,209,10,1,5.33
388,209,13,1,5.72
389,210,2,1,5.49
390,211,7,1,4.50
391,211,9,1,5.12
392,211,4,2,5.81
393,211,16,1,0.67
394,212,15,1,5.38
395,213,3,1,5.38
396,213,7,1,4.56
397,214,11,1,5.24
398,214,7,1,4.60
