transactionid,cashierid,transactiontime,totalamount,paymentmethod,status
1,1,2025-05-20 13:55:19,21.98,card,completed
2,4,2025-05-20 17:56:53,11.54,card,completed
3,1,2025-05-20 17:04:52,15.44,applepay,completed
4,4,2025-05-20 18:29:01,10.59,card,completed
5,2,2025-05-20 21:56:48,10.08,card,completed
6,4,2025-05-20 15:32:59,5.28,applepay,completed
7,2,2025-05-20 17:11:47,10.64,card,completed
8,2,2025-05-20 17:05:06,10.82,cash,completed
9,2,2025-05-20 12:39:58,0.00,applepay,voided
10,2,2025-05-20 14:45:05,5.80,card,completed
11,2,2025-05-20 14:27:02,10.47,card,completed
12,1,2025-05-20 13:28:23,12.37,card,completed
13,1,2025-05-20 21:53:37,22.19,card,completed
14,1,2025-05-20 18:48:47,16.44,applepay,completed
15,2,2025-05-20 15:23:35,5.14,cash,completed
16,4,2025-05-20 12:28:04,6.00,cash,completed
17,4,2025-05-20 18:12:04,5.76,applepay,completed
18,1,2025-05-20 15:50:44,5.20,card,completed
19,2,2025-05-20 15:30:46,4.69,card,completed
20,1,2025-05-20 21:26:27,5.44,card,completed
21,3,2025-05-20 15:00:27,0.00,card,voided
22,1,2025-05-20 12:48:00,15.62,card,completed
23,4,2025-05-20 17:33:08,6.05,card,completed
24,3,2025-05-20 19:45:09,5.44,card,completed
25,3,2025-05-20 15:53:27,10.46,card,completed
26,2,2025-05-20 14:21:37,10.78,card,completed
27,1,2025-05-20 12:26:39,6.03,card,completed
28,3,2025-05-20 22:43:06,26.37,card,completed
29,2,2025-05-20 17:58:54,4.71,card,completed
30,3,2025-05-20 11:01:28,0.68,applepay,completed
31,3,2025-05-20 16:47:18,16.17,card,completed
32,4,2025-05-20 20:21:38,5.46,card,completed
33,3,2025-05-20 12:50:05,6.04,applepay,completed
34,2,2025-05-20 13:34:14,5.17,card,completed
35,3,2025-05-20 22:52:27,5.35,card,completed
36,2,2025-05-20 21:15:01,16.11,card,completed
37,2,2025-05-20 12:12:14,6.10,card,completed
38,2,2025-05-20 15:20:35,10.29,card,completed
39,2,2025-05-20 17:12:21,9.38,card,completed
40,3,2025-05-20 17:31:52,5.32,card,completed
41,1,2025-05-20 18:56:07,17.24,card,completed
42,2,2025-05-20 14:35:58,10.92,card,completed
43,2,2025-05-20 15:35:24,5.78,applepay,completed
44,2,2025-05-20 19:55:55,4.95,applepay,completed
45,3,2025-05-20 20:46:05,0.00,card,voided
46,3,2025-05-20 22:11:01,10.74,card,completed
47,2,2025-05-20 19:49:17,4.54,card,completed
48,1,2025-05-20 22:21:25,10.94,card,completed
49,2,2025-05-20 19:43:22,10.73,card,completed
50,2,2025-05-20 15:24:20,11.01,card,completed
51,1,2025-05-20 18:51:42,15.50,applepay,completed
52,4,2025-05-20 20:51:22,5.13,card,completed
53,4,2025-05-20 20:09:38,11.73,card,completed
54,4,2025-05-20 20:45:32,21.10,card,completed
55,2,2025-05-20 13:44:08,16.20,card,completed
56,1,2025-05-20 17:10:44,10.69,applepay,completed
57,4,2025-05-20 15:18:24,16.71,card,completed
58,4,2025-05-20 15:01:43,10.61,card,completed
59,2,2025-05-20 21:15:06,17.17,card,completed
60,3,2025-05-20 12:36:38,10.24,card,completed
61,4,2025-05-20 12:38:13,15.78,card,completed
62,2,2025-05-20 16:02:59,5.29,card,completed
63,1,2025-05-20 12:02:54,4.86,card,completed
64,1,2025-05-20 13:57:09,17.65,card,completed
65,2,2025-05-20 12:48:28,5.30,card,completed
66,4,2025-05-20 18:32:17,21.10,card,completed
67,1,2025-05-20 19:41:29,10.67,card,completed
68,3,2025-05-20 19:14:01,15.87,card,completed
69,1,2025-05-20 19:41:59,10.66,card,completed
70,1,2025-05-20 13:54:23,10.97,card,completed
71,1,2025-05-20 13:18:41,27.56,card,completed
72,4,2025-05-20 15:48:03,7.91,card,completed
73,3,2025-05-20 17:00:49,6.64,card,completed
74,1,2025-05-20 18:14:45,16.34,card,completed
75,2,2025-05-20 17:09:48,4.87,card,completed
76,2,2025-05-20 16:00:48,20.50,card,completed
77,3,2025-05-20 16:33:26,5.14,card,completed
78,1,2025-05-20 15:38:21,11.04,applepay,completed
79,3,2025-05-20 20:27:05,6.18,card,completed
80,3,2025-05-20 17:42:00,9.97,card,completed
81,4,2025-05-20 16:13:54,6.59,applepay,completed
82,2,2025-05-20 16:06:20,15.73,card,completed
83,3,2025-05-20 18:54:19,4.66,card,completed
84,3,2025-05-20 20:15:25,4.84,applepay,completed
85,2,2025-05-20 14:56:45,5.54,card,completed
86,4,2025-05-20 20:58:04,10.21,card,completed
87,1,2025-05-20 19:22:09,5.41,card,completed
88,4,2025-05-20 11:53:30,0.00,card,voided
89,3,2025-05-20 18:30:47,9.63,card,completed
90,2,2025-05-20 21:26:03,20.97,applepay,completed
91,4,2025-05-20 16:44:31,5.31,cash,completed
92,2,2025-05-20 16:16:35,10.81,card,completed
93,1,2025-05-20 15:06:31,17.96,card,completed
94,1,2025-05-20 12:11:42,4.47,card,completed
95,2,2025-05-20 14:15:40,19.89,card,completed
96,3,2025-05-20 19:56:33,16.16,applepay,completed
97,2,2025-05-20 15:29:00,5.28,card,completed
98,1,2025-05-20 12:13:03,5.35,card,completed
99,4,2025-05-20 21:42:38,5.16,card,completed
100,4,2025-05-20 15:17:56,9.98,applepay,completed
101,4,2025-05-20 18:36:48,11.13,card,completed
102,3,2025-05-20 17:41:36,27.57,card,completed
103,3,2025-05-20 14:53:27,10.30,card,completed
104,1,2025-05-20 17:13:28,5.04,card,completed
105,4,2025-05-20 14:47:04,5.37,card,completed
106,2,2025-05-20 17:00:57,10.72,applepay,completed
107,3,2025-05-20 15:56:56,10.88,card,completed
108,1,2025-05-20 18:24:11,4.72,card,completed
109,4,2025-05-20 18:50:50,6.50,card,completed
110,1,2025-05-20 17:57:30,21.93,card,completed
111,2,2025-05-20 20:43:48,10.83,card,completed
112,3,2025-05-20 15:13:18,6.60,card,completed
113,4,2025-05-20 21:20:26,11.11,card,completed
114,3,2025-05-20 11:29:59,10.35,card,completed
115,3,2025-05-20 19:58:08,10.61,card,completed
116,2,2025-05-20 18:23:13,5.43,applepay,completed
117,4,2025-05-20 11:12:48,21.34,card,completed
118,4,2025-05-20 13:43:23,10.23,card,completed
119,4,2025-05-20 16:33:38,5.13,applepay,completed
120,3,2025-05-20 13:04:10,5.78,applepay,completed
121,1,2025-05-20 13:00:31,5.48,applepay,completed
122,2,2025-05-20 13:47:08,11.87,card,completed
123,4,2025-05-20 16:52:01,9.51,card,completed
124,4,2025-05-20 15:47:23,22.57,card,completed
125,4,2025-05-20 18:57:00,10.58,card,completed
126,1,2025-05-20 13:47:57,5.41,card,completed
127,1,2025-05-20 18:09:28,16.00,applepay,completed
128,4,2025-05-20 22:26:24,11.55,card,completed
129,4,2025-05-20 17:33:18,0.00,card,voided
130,2,2025-05-20 12:45:33,10.66,card,completed
131,4,2025-05-20 12:38:18,10.16,card,completed
132,2,2025-05-20 15:54:15,26.81,applepay,completed
133,2,2025-05-20 16:42:45,10.42,card,completed
134,1,2025-05-20 14:18:39,7.36,card,completed
135,3,2025-05-20 12:26:35,5.23,card,completed
136,4,2025-05-20 11:12:29,5.48,card,completed
137,3,2025-05-20 16:27:02,16.54,card,completed
138,4,2025-05-20 16:38:08,6.01,card,completed
139,4,2025-05-20 16:01:08,26.22,applepay,completed
140,1,2025-05-20 12:23:53,5.99,card,completed
141,3,2025-05-20 18:05:27,20.81,card,completed
142,3,2025-05-20 16:39:53,25.91,card,completed
143,3,2025-05-20 18:51:58,15.89,card,completed
144,1,2025-05-20 14:44:45,5.90,card,completed
145,4,2025-05-20 21:13:23,11.25,card,completed
146,1,2025-05-20 11:36:51,10.48,card,completed
147,2,2025-05-20 13:04:44,11.16,cash,completed
148,4,2025-05-20 21:29:54,5.24,card,completed
149,2,2025-05-20 21:28:48,5.10,applepay,completed
150,4,2025-05-20 21:52:11,5.24,card,completed
151,4,2025-05-20 14:30:48,5.92,card,completed
152,3,2025-05-20 17:09:37,6.02,card,completed
153,1,2025-05-20 17:19:09,4.84,card,completed
154,2,2025-05-20 19:32:42,9.69,card,completed
155,1,2025-05-20 16:43:29,6.04,card,completed
156,4,2025-05-20 12:17:31,10.72,card,completed
157,2,2025-05-20 14:11:31,5.99,card,completed
158,4,2025-05-20 20:16:44,5.56,applepay,completed
159,4,2025-05-20 13:51:27,15.67,card,completed
160,2,2025-05-20 11:30:33,11.79,card,completed
161,2,2025-05-20 17:27:40,5.37,card,completed
162,2,2025-05-20 16:34:44,10.66,cash,completed
163,4,2025-05-20 15:26:47,17.03,applepay,completed
164,2,2025-05-20 17:44:39,5.96,card,completed
165,3,2025-05-20 11:42:21,16.78,applepay,completed
166,3,2025-05-20 13:38:13,21.21,card,completed
167,1,2025-05-20 15:06:30,10.61,card,completed
168,1,2025-05-20 16:55:22,0.00,applepay,voided
169,3,2025-05-20 21:24:03,10.59,card,completed
170,3,2025-05-20 21:09:41,5.73,cash,completed
171,1,2025-05-20 20:29:39,4.87,card,completed
172,2,2025-05-20 21:58:21,15.85,card,completed
173,1,2025-05-20 15:56:26,10.30,card,completed
174,1,2025-05-20 20:15:25,4.58,card,completed
175,4,2025-05-20 12:17:20,5.98,cash,completed
176,1,2025-05-20 15:43:56,5.74,card,completed
177,4,2025-05-20 13:00:45,5.93,card,completed
178,1,2025-05-20 20:22:57,4.84,card,completed
179,2,2025-05-20 18:02:28,5.23,card,completed
180,2,2025-05-20 14:06:32,5.54,card,completed
181,2,2025-05-20 16:17:57,5.22,applepay,completed
182,2,2025-05-20 13:17:53,10.30,applepay,completed
183,1,2025-05-20 13:00:06,5.80,card,completed
184,2,2025-05-20 11:51:50,5.35,card,completed
185,1,2025-05-20 20:37:19,10.93,card,completed
186,3,2025-05-20 17:59:26,6.10,applepay,completed
187,1,2025-05-20 21:06:49,11.16,card,completed
188,4,2025-05-20 19:58:03,16.25,applepay,completed
189,4,2025-05-20 21:19:48,21.85,card,completed
190,4,2025-05-20 15:19:37,5.35,applepay,completed
191,4,2025-05-20 17:22:57,26.96,card,completed
192,2,2025-05-20 21:52:21,5.35,card,completed
193,2,2025-05-20 18:07:34,5.22,applepay,completed
194,1,2025-05-20 15:33:17,15.30,card,completed
195,1,2025-05-20 18:45:41,10.41,applepay,completed
196,1,2025-05-20 12:22:23,6.02,card,completed
197,3,2025-05-20 15:47:38,5.46,card,completed
198,1,2025-05-20 15:22:08,5.32,card,completed
199,4,2025-05-20 12:04:25,26.20,cash,completed
200,1,2025-05-20 21:00:18,5.44,card,completed
201,1,2025-05-20 13:52:19,5.60,card,completed
202,1,2025-05-20 15:49:08,5.82,applepay,completed
